"scientificname","order","class"
"Sebastes viviparus","Perciformes","Teleostei"
"Sepia elegans","Sepiida","Cephalopoda"
"Sepia officinalis","Sepiida","Cephalopoda"
"Sepietta neglecta","Sepiolida","Cephalopoda"
"Sepietta oweniana","Sepiolida","Cephalopoda"
"Sepiola atlantica","Sepiolida","Cephalopoda"
"Sepiola tridens","Sepiolida","Cephalopoda"
"Serranus cabrilla","Perciformes","Teleostei"
"Solea solea","Pleuronectiformes","Teleostei"
"Somniosus microcephalus","Squaliformes","Elasmobranchii"
"Sparus aurata","Eupercaria incertae sedis","Teleostei"
"Spinachia spinachia","Perciformes","Teleostei"
"Spondyliosoma cantharus","Eupercaria incertae sedis","Teleostei"
"Sprattus sprattus","Clupeiformes","Teleostei"
"Squalus acanthias","Squaliformes","Elasmobranchii"
"Symphodus bailloni","Eupercaria incertae sedis","Teleostei"
"Symphodus melops","Eupercaria incertae sedis","Teleostei"
"Symphodus roissali","Eupercaria incertae sedis","Teleostei"
"Symphodus rostratus","Eupercaria incertae sedis","Teleostei"
"Syngnathus acus","Syngnathiformes","Teleostei"
"Syngnathus rostellatus","Syngnathiformes","Teleostei"
"Syngnathus typhle","Syngnathiformes","Teleostei"
"Taurulus bubalis","Perciformes","Teleostei"
"Tetronarce nobiliana","Torpediniformes","Elasmobranchii"
"Thorogobius ephippiatus","Gobiiformes","Teleostei"
"Thunnus thynnus","Scombriformes","Teleostei"
"Todarodes sagittatus","Oegopsida","Cephalopoda"
"Todaropsis eblanae","Oegopsida","Cephalopoda"
"Torpedo marmorata","Torpediniformes","Elasmobranchii"
"Trachinus draco","Perciformes","Teleostei"
"Trachipterus arcticus","Lampriformes","Teleostei"
"Trachurus trachurus","Carangiformes","Teleostei"
"Trachyrincus murrayi","Gadiformes","Teleostei"
"Trigla lyra","Perciformes","Teleostei"
"Triglops murrayi","Perciformes","Teleostei"
"Triglops pingelii","Perciformes","Teleostei"
"Trisopterus esmarkii","Gadiformes","Teleostei"
"Trisopterus luscus","Gadiformes","Teleostei"
"Trisopterus minutus","Gadiformes","Teleostei"
"Zeugopterus punctatus","Pleuronectiformes","Teleostei"
"Zeugopterus regius","Pleuronectiformes","Teleostei"
"Zeus faber","Zeiformes","Teleostei"
"Zoarces viviparus","Perciformes","Teleostei"
